floor_number,no_of_flats,flat_area_sft,no_of_rooms,sand_tons,cement_tons,no_of_bricks,labour_count,labour_hours
0,2,1009,2,22.72,14.38,7011,10,70
10,2,1204,4,35.7,14.7,7729,12,108
0,4,597,3,17.89,14.38,3081,5,55
7,2,1126,1,21.54,27.45,6843,11,66
9,3,1195,6,22.37,20.19,7344,11,77
2,2,583,6,11.85,10.71,3990,5,45
5,3,1777,1,33.73,34.33,11487,17,119
1,1,483,2,8.82,10.39,3256,4,28
2,1,1107,2,32.61,20.31,7015,11,121
1,2,1421,5,27.76,25.37,7741,14,112
0,3,1403,4,29.37,22.14,8657,14,98
2,4,1899,4,37.35,26.55,12257,18,216
6,4,1978,2,49.63,46.07,11663,19,133
10,4,1166,2,23.94,28.04,7285,11,77
2,1,319,2,8.9,6.49,1630,3,36
10,4,343,5,9.49,8.51,2250,3,21
1,3,435,4,11.32,9.12,2391,4,24
2,2,1505,2,30.74,19.84,9304,15,120
10,3,1667,6,47.99,40.16,9506,16,96
10,3,623,2,16.99,12.99,3813,6,54
2,3,343,4,8.06,4.45,1812,3,36
10,2,1222,6,32.89,14.92,6149,12,84
1,2,932,4,20.27,22.26,5785,9,99
1,3,1684,2,34.79,39.76,10307,16,192
3,2,1965,6,45.36,24.58,12235,19,114
2,1,1334,3,34.45,25.26,7262,13,117
4,3,1530,1,32.07,35.3,7809,15,90
6,4,1900,5,47.71,38.92,12841,19,152
6,1,1081,6,29.83,18.37,6260,10,70
1,4,937,4,18.43,16.27,5022,9,72
0,4,1404,5,40.75,24.88,7438,14,168
5,2,1422,4,32.24,28.07,8492,14,84
7,2,1989,6,42.95,49.64,10351,19,114
8,2,522,4,15.17,10.37,2750,5,60
3,4,1480,5,39.83,22.46,9515,14,98
10,1,974,4,22.28,11.98,5759,9,72
2,4,1222,3,36.09,20.26,6541,12,144
10,1,1066,2,27.5,25.66,7033,10,90
1,1,1965,1,56.41,39.59,13516,19,114
5,1,304,1,5.83,5.88,1898,3,18
0,4,647,4,13.75,11.28,3816,6,54
7,3,1939,2,54.63,32.37,10643,19,228
5,3,460,3,12.93,9.89,2516,4,36
4,2,815,4,24.38,11.36,4605,8,80
1,3,1558,4,42.14,27.38,8805,15,150
8,3,1167,6,32.54,19.75,7964,11,66
6,1,1924,2,38.9,37.11,11751,19,190
4,4,1442,5,31.2,30.31,9844,14,98
6,2,1716,6,38.22,32.17,9052,17,170
0,2,739,1,16.07,18.4,4984,7,42
10,2,1015,2,18.75,20.8,6649,10,100
8,1,893,2,23.26,17.38,5442,8,80
7,2,947,2,20.02,17.46,4735,9,90
7,3,1631,1,44.12,21.07,8374,16,96
10,2,548,4,15.95,10.38,3531,5,50
8,1,1189,6,24.02,20.8,6902,11,110
7,3,1848,2,36.82,27.86,12643,18,126
8,3,923,3,21.04,12.17,5663,9,108
5,3,1516,6,33.98,32.87,10056,15,165
1,4,1896,1,40.83,46.1,11920,18,144
10,1,1044,2,23.63,14.18,5919,10,60
10,2,451,2,8.94,10.33,2730,4,44
6,4,1954,1,42.25,38.26,13344,19,171
1,1,419,4,8.19,5.37,2882,4,40
10,3,444,4,12.67,7.01,2880,4,24
10,4,889,1,26.65,11.26,5425,8,88
4,3,1010,1,26.94,13.88,6821,10,90
2,3,1924,2,55.26,38.62,9910,19,228
